PERMNO,date,TICKER,RET
11308,20010102,KO,-0.002051
11308,20010103,KO,-0.025694
11308,20010104,KO,-0.028481
11308,20010105,KO,0.002172
11308,20010108,KO,0.016251
11308,20010109,KO,0.012793
11308,20010110,KO,-0.004211
11308,20010111,KO,-0.029598
11308,20010112,KO,-0.013072
11308,20010116,KO,0.006623
11308,20010117,KO,0.016447
11308,20010118,KO,-0.014024
11308,20010119,KO,-0.022976
11308,20010122,KO,-0.002240
11308,20010123,KO,0.021324
11308,20010124,KO,0.020879
11308,20010125,KO,0.009688
11308,20010126,KO,-0.011727
11308,20010129,KO,-0.014110
11308,20010130,KO,0.013831
11308,20010131,KO,0.001554
11308,20010201,KO,-0.009655
11308,20010202,KO,0.005223
11308,20010205,KO,0.025286
11308,20010206,KO,0.003716
11308,20010207,KO,0.009761
11308,20010208,KO,0.010167
11308,20010209,KO,-0.007755
11308,20010212,KO,0.011307
11308,20010213,KO,-0.014140
11308,20010214,KO,-0.007672
11308,20010215,KO,-0.018992
11308,20010216,KO,0.016961
11308,20010220,KO,-0.014993
11308,20010221,KO,-0.060715
11308,20010222,KO,-0.035142
11308,20010223,KO,-0.018683
11308,20010226,KO,0.009038
11308,20010227,KO,-0.008958
11308,20010228,KO,0.019808
11308,20010301,KO,-0.006223
11308,20010302,KO,-0.002846
11308,20010305,KO,-0.044719
11308,20010306,KO,-0.007968
11308,20010307,KO,0.012651
11308,20010308,KO,0.019235
11308,20010309,KO,0.001945
11308,20010312,KO,-0.027184
11308,20010313,KO,-0.023353
11308,20010314,KO,-0.022154
11308,20010315,KO,-0.000419
11308,20010316,KO,0.020986
11308,20010319,KO,-0.005139
11308,20010320,KO,-0.020041
11308,20010321,KO,-0.045962
11308,20010322,KO,0.010387
11308,20010323,KO,-0.004812
11308,20010326,KO,-0.013187
11308,20010327,KO,0.038085
11308,20010328,KO,-0.014160
11308,20010329,KO,-0.031121
11308,20010330,KO,0.014376
11308,20010402,KO,0.015279
11308,20010403,KO,-0.025954
11308,20010404,KO,0.013211
11308,20010405,KO,0.001105
11308,20010406,KO,-0.006622
11308,20010409,KO,-0.024444
11308,20010410,KO,-0.005695
11308,20010411,KO,0.010997
11308,20010412,KO,0.009971
11308,20010416,KO,0.018847
11308,20010417,KO,0.006386
11308,20010418,KO,0.022976
11308,20010419,KO,0.016043
11308,20010420,KO,-0.010526
11308,20010423,KO,0.009574
11308,20010424,KO,-0.001265
11308,20010425,KO,0.017092
11308,20010426,KO,-0.026971
11308,20010427,KO,0.002132
11308,20010430,KO,-0.017234
11308,20010501,KO,0.031176
11308,20010502,KO,-0.001260
11308,20010503,KO,-0.017238
11308,20010504,KO,0.001711
11308,20010507,KO,-0.000214
11308,20010508,KO,-0.005340
11308,20010509,KO,-0.017393
11308,20010510,KO,-0.003278
11308,20010511,KO,-0.007016
11308,20010514,KO,0.015897
11308,20010515,KO,-0.002391
11308,20010516,KO,0.050762
11308,20010517,KO,-0.002073
11308,20010518,KO,-0.000623
11308,20010521,KO,0.003950
11308,20010522,KO,-0.010147
11308,20010523,KO,0.018828
11308,20010524,KO,0.008008
11308,20010525,KO,-0.018741
11308,20010529,KO,0.003529
11308,20010530,KO,-0.009516
11308,20010531,KO,-0.010025
11308,20010601,KO,0.008650
11308,20010604,KO,-0.005020
11308,20010605,KO,0.001051
11308,20010606,KO,-0.018270
11308,20010607,KO,-0.013476
11308,20010608,KO,-0.002602
11308,20010611,KO,-0.001522
11308,20010612,KO,-0.000435
11308,20010613,KO,0.002614
11308,20010614,KO,-0.018102
11308,20010615,KO,-0.016881
11308,20010618,KO,-0.011071
11308,20010619,KO,-0.000457
11308,20010620,KO,0.004114
11308,20010621,KO,-0.007740
11308,20010622,KO,-0.016976
11308,20010625,KO,0.017270
